1.092;0.705;0.387;1.7
2.029;1.315;0.714;3.3
3.016;1.951;1.065;4.9
3.993;2.55;1.443;6.6
5.024;3.23;1.794;8.1
5.98;3.84;2.15;9.8
6.93;4.46;2.47;11.5
7.97;5.14;2.83;13.1
8.94;5.76;3.18;14.7
9.92;6.39;3.53;16.2
