1,08;2,7;4,7;7,4;;7,4;1,08
2,1;5,2;9,6;14,7;;14,7;2,1
3,09;7,7;14;22;;22;3,09
4,09;10,3;18,6;28,7;;28,7;4,09
5,05;12,9;23,2;35,8;;35,8;5,05
6,09;15,5;27,6;43,2;;43,2;6,09
7,11;18;32,1;50,4;;50,4;7,11
8,05;20,5;36,7;57,4;;57,4;8,05
9,04;23,1;41,5;64,6;;64,6;9,04
10,05;25,6;46,1;71,3;;71,3;10,05
