1.000000000000000000e+00,5.442000000000000171e+01
2.000000000000000000e+00,5.442999999999999972e+01
3.000000000000000000e+00,5.449000000000000199e+01
4.000000000000000000e+00,5.443999999999999773e+01
5.000000000000000000e+00,5.449000000000000199e+01
6.000000000000000000e+00,5.450999999999999801e+01
7.000000000000000000e+00,5.439999999999999858e+01
8.000000000000000000e+00,5.439999999999999858e+01
9.000000000000000000e+00,5.446000000000000085e+01
1.000000000000000000e+01,5.446000000000000085e+01
