1.000000000000000000e+00,1.534499999999999886e+02
2.000000000000000000e+00,1.561999999999999886e+02
3.000000000000000000e+00,1.548899999999999864e+02
4.000000000000000000e+00,1.545399999999999920e+02
5.000000000000000000e+00,1.535000000000000000e+02
6.000000000000000000e+00,1.540600000000000023e+02
7.000000000000000000e+00,1.540099999999999909e+02
8.000000000000000000e+00,1.542700000000000102e+02
9.000000000000000000e+00,1.546399999999999864e+02
1.000000000000000000e+01,1.540999999999999943e+02
